method_name	Fscoreall_value_1	Fscoreall_value_2	Fscoreall_value_3	Fscoreall_value_4	Fscoreall_value_5	average_value	max_value	min_value	precisionall_value_1	precisionall_value_2	precisionall_value_3	precisionall_value_4	precisionall_value_5	average_value	max_value	min_value	recallall_value_1	recallall_value_2	recallall_value_3	recallall_value_4	recallall_value_5	average_value	max_value	min_value	AUCall_value_1	AUCall_value_2	AUCall_value_3	AUCall_value_4	AUCall_value_5	average_value	max_value	min_value
abalone19_MLP_normal_10000_im_num_10_half	0.15844393592677347	0.4	0.0	0.4	0.0	0.08695652173913045	0.10526315789473684	0.20000000000000004	0.1264957264957265	0.3	0.0	0.3	0.0	0.05555555555555555	0.07692307692307693	0.2	0.23333333333333334	0.6	0.0	0.6	0.0	0.2	0.16666666666666666	0.2	0.6106402449363195	0.7957831325301205	0.4939759036144578	0.7957831325301205	0.4939759036144578	0.5897590361445784	0.5760956976276638	0.5975874547647768
abalone19_MLP_normal_10000_both_num_10_half	0.15923444976076556	0.4	0.0	0.4	0.0	0.0909090909090909	0.10526315789473684	0.20000000000000004	0.12714932126696832	0.3	0.0	0.3	0.0	0.058823529411764705	0.07692307692307693	0.2	0.23333333333333334	0.6	0.0	0.6	0.0	0.2	0.16666666666666666	0.2	0.6106402449363195	0.7957831325301205	0.49337349397590363	0.7957831325301205	0.49337349397590363	0.5903614457831325	0.5760956976276638	0.5975874547647768
abalone19_MLP_normal_8000_normal_num_10_half	0.11414141414141413	0.1818181818181818	0.0	0.16666666666666666	0.0	0.0888888888888889	0.1818181818181818	0.13333333333333333	0.06757706093189965	0.1111111111111111	0.0	0.0967741935483871	0.0	0.05	0.1111111111111111	0.08	0.38	0.6	0.0	0.6	0.0	0.4	0.5	0.4	0.6737281090586713	0.783132530120482	0.4867469879518072	0.783132530120482	0.4867469879518072	0.6771084337349398	0.735524728588661	0.6861278648974668
abalone19_MLP_normal_8000_bm_num_10_half	0.1504111877513412	0.2608695652173913	0.0	0.2608695652173913	0.0	0.07407407407407407	0.18181818181818182	0.23529411764705882	0.10075757575757575	0.16666666666666666	0.0	0.16666666666666666	0.0	0.045454545454545456	0.125	0.16666666666666666	0.30666666666666664	0.6	0.0	0.6	0.0	0.2	0.3333333333333333	0.4	0.6453780380872101	0.7909638554216868	0.4963855421686747	0.7909638554216868	0.4963855421686747	0.5873493975903614	0.6582227583433855	0.6939686369119421
abalone19_MLP_normal_8000_im_num_10_half	0.12657397504456327	0.24	0.0	0.24	0.0	0.06666666666666667	0.09090909090909091	0.23529411764705882	0.08383333333333334	0.16666666666666666	0.0	0.15	0.0	0.04	0.0625	0.16666666666666666	0.2733333333333333	0.6	0.0	0.6	0.0	0.2	0.16666666666666666	0.4	0.6279883345202282	0.7897590361445783	0.4963855421686747	0.7897590361445783	0.4963855421686747	0.5855421686746988	0.5742862887012465	0.6939686369119421
abalone19_MLP_normal_8000_both_num_10_half	0.14568668046928918	0.2608695652173913	0.0	0.2608695652173913	0.0	0.07142857142857142	0.1739130434782609	0.2222222222222222	0.09632762804118303	0.16666666666666666	0.0	0.16666666666666666	0.0	0.043478260869565216	0.11764705882352941	0.15384615384615385	0.30666666666666664	0.6	0.0	0.6	0.0	0.2	0.3333333333333333	0.4	0.6450163016359769	0.7909638554216868	0.4963855421686747	0.7909638554216868	0.4963855421686747	0.5867469879518071	0.6576196220345798	0.6933655006031363
abalone19_MLP_normal_5000_normal_num_10_half	0.06801172529994953	0.10526315789473684	0.0	0.09375000000000001	0.0	0.07547169811320754	0.10526315789473684	0.06557377049180328	0.037410387883967146	0.058823529411764705	0.0	0.05084745762711865	0.0	0.041666666666666664	0.058823529411764705	0.03571428571428571	0.38	0.6	0.0	0.6	0.0	0.4	0.5	0.4	0.6598646939991571	0.766265060240964	0.472289156626506	0.766265060240964	0.472289156626506	0.672289156626506	0.721049457177322	0.6674306393244873
abalone19_MLP_normal_5000_bm_num_10_half	0.0883169129720854	0.13333333333333333	0.0	0.1142857142857143	0.0	0.06896551724137931	0.125	0.13333333333333333	0.05305128205128205	0.08	0.0	0.06666666666666667	0.0	0.041666666666666664	0.07692307692307693	0.08	0.2666666666666667	0.4	0.0	0.4	0.0	0.2	0.3333333333333333	0.4	0.6194710809462216	0.6861278648974668	0.48975903614457833	0.6831325301204819	0.48975903614457833	0.5861445783132531	0.6521913952553277	0.6861278648974668
abalone19_MLP_normal_5000_im_num_10_half	0.08529411764705883	0.125	0.0	0.125	0.0	0.0588235294117647	0.125	0.1176470588235294	0.050889085371844	0.07692307692307693	0.0	0.07407407407407407	0.0	0.034482758620689655	0.07692307692307693	0.06896551724137931	0.2666666666666667	0.4	0.0	0.4	0.0	0.2	0.3333333333333333	0.4	0.6186271261160443	0.6849397590361445	0.4891566265060241	0.6849397590361445	0.4891566265060241	0.5831325301204818	0.6521913952553277	0.6837153196622436
abalone19_MLP_normal_5000_both_num_10_half	0.0857848065912582	0.12903225806451613	0.0	0.1142857142857143	0.0	0.06060606060606061	0.125	0.12903225806451613	0.05124542124542124	0.07692307692307693	0.0	0.06666666666666667	0.0	0.03571428571428571	0.07692307692307693	0.07692307692307693	0.2666666666666667	0.4	0.0	0.4	0.0	0.2	0.3333333333333333	0.4	0.618868525973617	0.685524728588661	0.48975903614457833	0.6831325301204819	0.48975903614457833	0.5837349397590361	0.6521913952553277	0.685524728588661
abalone19_MLP_normal_2000_normal_num_10_half	0.059141288973356264	0.07547169811320754	0.021505376344086023	0.06896551724137931	0.021505376344086023	0.06382978723404255	0.06593406593406594	0.07547169811320754	0.03120112312226203	0.039603960396039604	0.011363636363636364	0.036036036036036036	0.011363636363636364	0.033707865168539325	0.03529411764705882	0.039603960396039604	0.5800000000000001	0.8	0.2	0.8	0.2	0.6	0.5	0.8	0.7346727803857167	0.8414957780458383	0.5475903614457831	0.8355421686746989	0.5475903614457831	0.7481927710843375	0.7005428226779252	0.8414957780458383
abalone19_MLP_normal_2000_bm_num_10_half	0.09156545209176788	0.16666666666666666	0.0	0.16666666666666666	0.0	0.10526315789473685	0.08333333333333333	0.10256410256410256	0.05360168027746687	0.09302325581395349	0.0	0.09302325581395349	0.0	0.06060606060606061	0.05555555555555555	0.058823529411764705	0.3533333333333334	0.8	0.0	0.8	0.0	0.4	0.16666666666666666	0.4	0.6591896657801289	0.8765060240963856	0.4843373493975904	0.8765060240963856	0.4843373493975904	0.6813253012048193	0.5730800160836349	0.6806996381182147
abalone19_MLP_normal_2000_im_num_10_half	0.12367149758454106	0.23076923076923073	0.0	0.23076923076923073	0.0	0.10256410256410256	0.1111111111111111	0.1739130434782609	0.0792250233426704	0.14285714285714285	0.0	0.14285714285714285	0.0	0.058823529411764705	0.08333333333333333	0.1111111111111111	0.31333333333333335	0.6	0.0	0.6	0.0	0.4	0.16666666666666666	0.4	0.6447350318039347	0.7891566265060241	0.4867469879518072	0.7891566265060241	0.4867469879518072	0.680722891566265	0.5766988339364697	0.6903498190591073
abalone19_MLP_normal_2000_both_num_10_half	0.1340155945419103	0.25	0.0	0.25	0.0	0.10526315789473685	0.14814814814814814	0.16666666666666666	0.08185109237740816	0.14814814814814814	0.0	0.14814814814814814	0.0	0.06060606060606061	0.09523809523809523	0.10526315789473684	0.3866666666666667	0.8	0.0	0.8	0.0	0.4	0.3333333333333333	0.4	0.6791112338376425	0.8861445783132531	0.4831325301204819	0.8861445783132531	0.4831325301204819	0.6813253012048193	0.6552070767993566	0.6897466827503016
